"Player","Pos","School","Weight","X40yd","Vertical","Bench","BroadJump","X3Cone","Shuttle","Drafted","height_total_in","PositionGroup"
"A.J. Edds","OLB","Iowa",246,4.62,33,16,117,7.19,4.28,"1",76,"LB"
"A.J. Jefferson","CB","Fresno State",193,4.42,44,7,126,6.72,4,"0",72,"DB"
"Adam Ulatoski","OG","Texas",300,5.52,26,24,94,7.98,4.99,"0",77,"OLINE"
"Adrian Tracy","OLB","William & Mary",248,4.76,35.5,20,110,7.08,4.34,"1",75,"LB"
"Albert McClellan","ILB","Marshall",247,4.75,36.5,26,119,7.24,4.21,"0",73,"LB"
"Alterraun Verner","CB","UCLA",189,4.52,32,11,116,6.7,4.12,"1",70,"DB"
"Andre Roberts","WR","Citadel",195,4.4,36,15,120,6.77,4.15,"1",71,"WR"
"Anthony Davis","OT","Rutgers",323,5.36,33,21,99,8.17,4.97,"1",77,"OLINE"
"Anthony Dixon","RB","Mississippi State",233,4.67,33,15,121,7.09,4.49,"1",73,"RB"
"Anthony McCoy","TE","USC",259,4.71,35.5,19,113,6.99,4.57,"1",76,"TE"
"Antonio Brown","WR","Central Michigan",186,4.56,33.5,13,105,6.98,4.18,"1",70,"WR"
"Arthur Moats","OLB","James Madison",246,4.64,36.5,24,122,7.22,4.37,"1",72,"LB"
"Barry Church","S","Toledo",222,4.69,36,19,121,6.65,4.17,"0",73,"DB"
"Ben Tate","RB","Auburn",220,4.34,40.5,26,124,6.91,4.12,"1",71,"RB"
"Blair White","WR","Michigan State",209,4.49,33.5,18,115,6.69,4.03,"0",74,"WR"
"Brandon Carter","OG","Texas Tech",329,5.34,24.5,22,102,7.82,4.94,"0",78,"OLINE"
"Brandon Ghee","CB","Wake Forest",192,4.37,37,15,127,6.75,4.07,"1",72,"DB"
"Brian Jackson","CB","Oklahoma",202,4.65,35.5,20,120,6.76,4.22,"0",73,"DB"
"Bruce Campbell","OT","Maryland",314,4.75,32,34,101,7.58,4.69,"1",78,"OLINE"
"Bryan Bulaga","OT","Iowa",314,5.2,27.5,26,98,7.7,4.75,"1",77,"OLINE"
"Cam Thomas","DT","North Carolina",330,5.16,29,31,102,7.68,4.78,"1",76,"DLINE"
"Carlos Dunlap","DE","Florida",277,4.68,31.5,21,111,7.21,4.61,"1",78,"DLINE"
"Carlton Mitchell","WR","South Florida",215,4.46,36,16,122,6.96,4.55,"1",75,"WR"
"Chad Jones","S","LSU",221,4.59,36,9,115,6.83,4.14,"1",74,"DB"
"Chris Bell","WR","Norfolk State",211,4.5,35,15,117,6.76,4.35,"0",74,"WR"
"Chris Chancellor","CB","Clemson",177,4.49,34,14,115,6.85,4.07,"0",69,"DB"
"Chris Cook","CB","Virginia",212,4.45,38,7,132,6.88,4.23,"1",74,"DB"
"Chris DeGeare","OG","Wake Forest",325,5.12,32.5,27,103,7.84,4.9,"1",76,"OLINE"
"Chris Hawkins","CB","LSU",187,4.43,35,16,118,6.91,4.46,"0",72,"DB"
"Chris Scott","OG","Tennessee",319,5.52,22.5,19,90,8.24,5.03,"1",77,"OLINE"
"Ciron Black","OG","LSU",327,5.53,25.5,23,91,8.52,5.13,"0",76,"OLINE"
"Cole Pemberton","OT","Colorado State",315,5.37,22.5,18,96,7.65,4.77,"0",79,"OLINE"
"Cornelius Brown","CB","Texas-El Paso",198,4.59,31.5,11,118,6.87,4.24,"0",71,"DB"
"Crezdon Butler","CB","Clemson",191,4.43,39.5,17,121,7.08,4.23,"1",72,"DB"
"Dace Richardson","OG","Iowa",320,5.76,23.5,19,87,8.58,5.38,"0",77,"OLINE"
"Damian Williams","WR","USC",197,4.52,38,19,118,6.79,4.24,"1",73,"WR"
"Dan Williams","DT","Tennessee",327,5.19,32,27,96,7.88,4.87,"1",74,"DLINE"
"Daniel Te'o-Nesheim","DE","Washington",263,4.73,37,29,121,6.91,4.18,"1",75,"DLINE"
"David Gettis","WR","Baylor",217,4.43,34.5,15,124,6.94,4.41,"1",75,"WR"
"David Reed","WR","Utah",191,4.56,37,15,114,6.95,4.38,"1",72,"WR"
"Dekoda Watson","OLB","Florida State",240,4.55,40,24,134,7.06,4.11,"1",73,"LB"
"Dennis Pitta","TE","BYU",245,4.68,34,27,113,6.72,4.17,"1",76,"TE"
